library-name;version
Drop;1.0.2
EmbeddedJS;1.0.4
FontAwesome;4.5.6
H5P.AFrame;1.0.4
H5P.AFrameAR;3.1.1
H5P.AFrameOrbitControls;1.3.0
H5P.ARScavenger;1.4.1
H5P.Accordion;1.0.33
H5P.AdvancedBlanks;1.2.0
H5P.AdvancedText;1.1.14
H5P.AdventCalendar;0.3.4
H5P.Agamotto;1.6.11
H5P.AppearIn;1.0.14
H5P.ArithmeticQuiz;1.1.25
H5P.Audio;1.5.12
H5P.AudioRecorder;1.0.33
H5P.Blanks;1.14.13
H5P.BranchingQuestion;1.0.20
H5P.BranchingScenario;1.8.14
H5P.CKEditor;1.0.24
H5P.Chart;1.2.22
H5P.Collage;0.3.25
H5P.Column;1.18.8
H5P.ContinuousText;1.2.16
H5P.Cornell;0.3.2
H5P.CoursePresentation;1.26.3
H5P.Crossword;0.5.13
H5P.Dialogcards;1.9.18
H5P.Dictation;1.3.3
H5P.DocumentExportPage;1.5.19
H5P.DocumentationTool;1.8.27
H5P.DragNBar;1.5.22
H5P.DragNDrop;1.1.5
H5P.DragNResize;1.2.6
H5P.DragNSort;1.1.2
H5P.DragQuestion;1.14.22
H5P.DragText;1.10.17
H5P.Essay;1.5.13
H5P.ExportPage;1.1.5
H5P.ExportableTextArea;1.3.18
H5P.FindTheWords;1.4.4
H5P.Flashcards;1.7.10
H5P.FontIcons;1.0.11
H5P.FreeTextQuestion;1.0.16
H5P.GameMap;1.5.4
H5P.GoToQuestion;1.3.15
H5P.GoToScene;0.1.0
H5P.GoalsAssessmentPage;1.4.17
H5P.GoalsPage;1.5.21
H5P.GreetingCard;1.0.6
H5P.GuessTheAnswer;1.5.3
H5P.GuidedTour;1.0.6
H5P.IFrameEmbed;1.0.29
H5P.IVHotspot;1.2.17
H5P.Image;1.1.22
H5P.ImageHotspotQuestion;1.8.22
H5P.ImageHotspots;1.10.18
H5P.ImageJuxtaposition;1.5.4
H5P.ImageMultipleHotspotQuestion;1.0.1
H5P.ImagePair;1.4.0
H5P.ImageSequencing;1.1.0
H5P.ImageSlide;1.1.4
H5P.ImageSlider;1.1.9
H5P.InfoWall;0.4.9
H5P.InteractiveBook;1.11.11
H5P.InteractiveVideo;1.27.9
H5P.JoubelUI;1.3.19
H5P.KewArCode;1.2.2
H5P.Link;1.3.18
H5P.MarkTheWords;1.11.9
H5P.MaterialDesignIcons;1.0.0
H5P.MathDisplay;1.0.7
H5P.MemoryGame;1.3.29
H5P.MultiChoice;1.16.14
H5P.MultiMediaChoice;0.3.44
H5P.Nil;1.0.14
H5P.OpenEndedQuestion;1.0.28
H5P.PersonalityQuiz;1.0.8
H5P.Question;1.5.15
H5P.QuestionSet;1.20.31
H5P.Questionnaire;1.3.11
H5P.Shape;1.0.5
H5P.SimpleMultiChoice;1.1.22
H5P.SingleChoiceSet;1.11.44
H5P.SortParagraphs;0.11.9
H5P.SoundJS;1.0.2
H5P.SpeakTheWords;1.5.7
H5P.SpeakTheWordsSet;1.3.4
H5P.StandardPage;1.5.16
H5P.StructureStrip;1.0.6
H5P.Summary;1.10.22
H5P.Table;1.2.2
H5P.Text;1.1.17
H5P.TextInputField;1.2.17
H5P.TextUtilities;1.3.0
H5P.ThreeImage;0.5.8
H5P.ThreeJS;1.0.108
H5P.ThreeSixty;0.3.7
H5P.Timeline;1.1.25
H5P.Timer;0.4.2
H5P.Transition;1.0.4
H5P.TrueFalse;1.8.11
H5P.TwitterUserFeed;1.0.21
H5P.Video;1.6.66
H5PEditor.ARMarkerGenerator;1.0.3
H5PEditor.AudioRecorder;1.0.11
H5PEditor.BranchingQuestion;1.0.5
H5PEditor.BranchingScenario;1.5.7
H5PEditor.Collage;0.3.22
H5PEditor.ColorSelector;1.3.1
H5PEditor.CoursePresentation;1.25.14
H5PEditor.DragQuestion;1.10.21
H5PEditor.Duration;1.1.14
H5PEditor.GameMap;1.2.4
H5PEditor.ImageCoordinateSelector;1.2.7
H5PEditor.ImageHotspotQuestion;1.8.12
H5PEditor.ImageMultipleHotspotQuestion;1.0.0
H5PEditor.ImportantDescription;0.1.4
H5PEditor.InfoWall;0.2.6
H5PEditor.InfoWallPassiveList;0.1.5
H5PEditor.InputRow;1.0.1
H5PEditor.InteractiveVideo;1.25.11
H5PEditor.KewArCode;1.0.0
H5PEditor.QuestionSetTextualEditor;1.3.18
H5PEditor.RadioGroup;1.1.4
H5PEditor.RadioSelector;1.2.2
H5PEditor.RangeList;1.0.13
H5PEditor.SelectToggleFields;1.1.1
H5PEditor.Shape;1.0.0
H5PEditor.ShowWhen;1.0.9
H5PEditor.SingleChoiceSetTextualEditor;1.0.10
H5PEditor.SummaryTextualEditor;1.1.12
H5PEditor.TableList;1.0.4
H5PEditor.ThreeDModelLoader;1.0.4
H5PEditor.ThreeImage;0.5.2
H5PEditor.Timecode;1.2.14
H5PEditor.UrlField;1.2.2
H5PEditor.VerticalTabs;1.3.14
H5PEditor.Wizard;1.2.17
MustacheJS;1.0.2
Odometer;1.0.3
Shepherd;1.0.7
Tether;1.0.2
TimelineJS;1.1.1
blob;1.0.6
docxgenJS;1.0.3
downloadify;1.0.3
filesaver;1.0.6
flowplayer;1.0.5
jQuery.ui;1.10.22
swfobject;1.0.2
H5P.Row;1.0.12
H5P.RowColumn;1.0.4
H5PEditor.DateTime;1.0.9
